1. Did you notice the participation of bots during your pull request submission/acceptance process?,"2. Based on your experience, it was easier to contribute to the project:","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Explain the Project Guidelines (eg. explain how to contribute for new contributors)]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Help during the code review]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Decrease time to merge / reject your Pull Request]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Automate the continuous integration required]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Run tests / quality assurance tasks]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [License Issues related to contributions]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Improve the social interaction between integrators and contributors]","4. Do bots support contributions in any tasks not mentioned above? If yes, in which tasks? ","5. From the contributors perspective, what are the problems/challenges of using bots? (Maybe some situation in which you would like to have human support instead of a bot support)",6. What features would you like to add to the bot to better support your tasks as an open source contributor?
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,"Picking changes from a pull request to other branches of the project, ensuring that people relevant to the part of the code that is being changed are tagged on the pull request to help review it, requiring an approval from such people before the pull request can be considered for merging.","A significant challenge (although not directly associated to the bot itself) is coming across test-flakes.

For every pull request that is opened and labelled for testing, a bot creates a job which creates a vm in google cloud engine, which is then used to run a series of unit and end-to-end tests against the patch being proposed, merged against a copy of the codebase. While this, on average ensures that every patch being merged through a pull request causes no regressions or introduces new bugs, these tests sometimes tend to fail for reasons completely unrelated to the changes being introduced through the patch. These erroneous failures are known as ""test flakes"" and causes of them sometimes involve race-conditions in the tests, infrastructure failure, connectivity issues, etc.

Although these test flakes do not happen often, they sometimes tend to drag out the merge process for a pull request. They also end up consuming more of the developer's time, as test logs have to be examined to conclude that a test failure did not come from the patch itself, test jobs have to be restarted, etc.","The ability for it to recognize test flakes by analyzing common failures ocurring often across multiple pull requests over time, and to restart test jobs automatically when this happens"
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,,Sometimes the bot doesn't kick in or there is a refresh issue or something. This can cause a pull request to be ignored because it hasn't passed automatic validation yet.,I think most things that can and should be automated are already automated. I'm not sure what else I would add to the features of existing bots.
Yes,When my pull request was assisted by Bots and members,Very relevant support,Irrelevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very irrelevant support,,When tests fail I would like to know why they failed and how to fix common issues. ,A faq about common issues that cause Ci build failures. 
Yes,When my pull request was assisted by Bots and members,I do not know,Very relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,Very relevant support,,"Bot usually only for automation, I have no issue with that.",Not sure
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,I do not know,Very relevant support,Very relevant support,Very relevant support,I do not know,,"they should not be overused. Googles License bot and CI ones are acceptable, but i would say that's probably the limit for me.",style / lint stuff. maybe formatting diffs for languages that lack standard tools like golang's gofmt.
Yes,When my pull request was assisted only by a Bot,Irrelevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Very irrelevant support,I do not know,,"It's easy to use, no challenges at all.","Nothing else i want, they have got all what i want."
Yes,When my pull request was assisted by Bots and members,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,,n/a,n/a
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,Very relevant support,Build project for those that rather have prebuilt binaries,"Bots are invaluable. Humongous low-hanging fruit here. The problem is most of the bots suck horribly. https://github.com/barosl/homu#why-is-it-needed describes a race condition (master changed since the merge+build was performed) that the vast majority exhibit. The other problem would be the granular caching needed to make such frequent rebuilds to avoid the race condition practicle. https://nixos.org/nix/ is one of the few tools making that granularity possible, but the main CI tool with it, https://nixos.org/hydra/, has the race condition listed above.",Nothing should exhibit the https://github.com/barosl/homu#why-is-it-needed condition. Master should only contain commits which have already passed CI.
Yes,When my pull request was assisted by Bots and members,Relevant support,Irrelevant support,I do not know,I do not know,Irrelevant support,Irrelevant support,Relevant support,It welcomed and thanked me on behalf of the maintainers and assigned someone to review the PR.,"People still have to review the PR. And my PRs were usually reviewed by someone different from the person the bot assigned, so that made the assignment seem a little useless. But it was nice to know that someone was assigned in case nobody else picked it up.",Reviewer assignment based on code area changed so that it is more relevant and add GitHub labels based on the code area changed.
Yes,When my pull request was assisted by Bots and members,Relevant support,Irrelevant support,Very irrelevant support,Very relevant support,Very relevant support,Very irrelevant support,Very irrelevant support,,Prioritizing review when it's a critical issue,Keep reminding repo owners about relevant issues that were not resolved or closed
Yes,When my pull request was assisted only by a Bot,Relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,Relevant support,,When bots doesn't get the situation right,"a) ""Summon a human"" more easily b) perhaps better NLP"
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,,None,None
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,"They are not smart enough yet. For some repos, based on the number of comments and code changes, they should be able to provide a initial code review.","They are not smart enough yet. For some repos, based on the number of comments and code changes, they should be able to provide a initial code review."
Yes,When my pull request was assisted by Bots and members,Relevant support,Irrelevant support,Relevant support,Relevant support,Relevant support,Very irrelevant support,Very irrelevant support,,When reporting serious bugs it can be quite annoying if the only answer for days is a sole bot response,"Provide overview of the current conversation, maybe count answers per person "
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,I do not know,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,"No problems that I could specifically attribute to bots. Obviously, some initial response of a bot may be hard to grasp without a human assistance but the same can be said about an initial response from a human.",I don't really care. I trust owners of large open-source projects to have a lot of inputs to make much better decisions than I can do.
Yes,When my pull request was assisted by Bots and members,I do not know,Relevant support,I do not know,Relevant support,Relevant support,I do not know,I do not know,,The phrasing can sometimes seem impersonal,Not sure
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,I do not know,Relevant support,Very relevant support,Very relevant support,I do not know,,code review,issue
Yes,When my pull request was assisted only by a Bot,Very relevant support,Relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,idk,I want bot support everywhere,show related pull requests
Yes,When my pull request was assisted only by project members,Very relevant support,I do not know,I do not know,I do not know,Relevant support,I do not know,I do not know,,"Reviewing the code is the most essential task, and I am not aware of a bot bring able to do that",To notify the contributor about a test failure
Yes,When my pull request was assisted by Bots and members,Very relevant support,I do not know,Relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,,None come to mind,"A bot that reported expected response time for a human to review and/or approve the PR (maybe based on PR size and past PR metrics?) could be useful.
Similarly, a bot that nags open source maintainers when there are PRs they still need to review & there's been a long delay, could be useful.
Both of those suggestions come from the context of the React Native repo, where Facebook can sometimes have long approval times for PRs."
Yes,When my pull request was assisted by Bots and members,Relevant support,I do not know,I do not know,Relevant support,Very relevant support,I do not know,Relevant support,,N/A,N/A
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Irrelevant support,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,Irrelevant support,,Code review,summary of test failure/stack trace; find similar commit; etc
Yes,When my pull request was assisted by Bots and members,Very irrelevant support,Irrelevant support,Irrelevant support,Irrelevant support,Very irrelevant support,Very irrelevant support,Irrelevant support,,None.,None.
Yes,When my pull request was assisted by Bots and members,Very relevant support,I do not know,Very relevant support,I do not know,Very relevant support,I do not know,I do not know,,"sometimes they require some procedure, even though I followed their requirements.",I thing its enough
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Very relevant support,Relevant support,Relevant support,I do not know,"No,",Hum..,Hum..
Yes,When my pull request was assisted by Bots and members,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,Irrelevant support,,Usually bot catch linting errors and keep quality of the code.,I don't know
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,Dependency updates (GreenKeeper),N/A,N/A
Yes,When my pull request was assisted by Bots and members,Relevant support,Very relevant support,Irrelevant support,Relevant support,Relevant support,I do not know,Irrelevant support,,the bot cannot provide much relevant information in context of the pull request,"read the context of the pull request (e.g. tests, docs, main code) take action accordingly"
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,I do not know,I'm not sure linting was explicitly mentioned.  It's useful though,I haven't experienced such a situation yet,I can't think of any
Yes,When my pull request was assisted by Bots and members,I do not know,Relevant support,Relevant support,Relevant support,Relevant support,Very relevant support,Relevant support,,Security fixes,In-depth code review
Yes,When my pull request was assisted by Bots and members,Relevant support,I do not know,Relevant support,Relevant support,Relevant support,Relevant support,Relevant support,No,Nothing,Nothing
Yes,When my pull request was assisted only by a Bot,Irrelevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,Irrelevant support,,"If a bot requests/needs/waits for some type of approval, it's not always clear what these conditions are","When making an automated action as a part of a strict process (e.g. for accepting a pull request), have that action data (e.g. commit message) include a reference (e.g. URL) to the relevant workflow process/guidelines and the specific point ""it is working on"" with this action."
Yes,When my pull request was assisted by Bots and members,Very relevant support,I do not know,I do not know,I do not know,I do not know,Very relevant support,I do not know,,My PR was just adds a file extension and adds 6byte into codebase. So there was no difficulty.,"It is good for me to advice trivial things like code style, code comment and modification of README, it's easy to change but reviewer have to be polite to point out it to contributor. Time consuming!"
Yes,When my pull request was assisted only by a Bot,Irrelevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,Relevant support,,Bots can't do a complete code rewiew.,-
Yes,When my pull request was assisted by Bots and members,I do not know,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,Very relevant support,,I cannot subjectively get help from bots.,"slack like commands open to contributors, and it should be common across a site like GitHub"
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Very relevant support,Relevant support,Relevant support,Relevant support,Very relevant support,"Yes, https://github.com/rails/rails/pull/21877",assigned pull request by bots was not reviewed by an assignee in very long time.,"bots should assigned pull request to other contributors, if it not reviewed in very long time."
Yes,When my pull request was assisted by Bots and members,Relevant support,Very relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,Relevant support,"Notifications to users via Slack, IRC, email, other.","Code review still needs to be done by humans. Bots are good for automatable things like making sure all test are passing, styling standards are met, etc.",None I can think of.
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,Very irrelevant support,Irrelevant support,,When the bot cannot properly do its task for example. Or if contributing a special case that may not pass all automated tests/requirements.,N/A
Yes,When my pull request was assisted only by project members,I do not know,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Facebook login,No answer,Machine learning
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,"
Check if a block of code fits the design style of project",Tell the contributors what I need.
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,,Review the code should be done by a human,Check code style guidelines
Yes,When my pull request was assisted by Bots and members,I do not know,Relevant support,I do not know,Very relevant support,Very relevant support,I do not know,Relevant support,,Not sure yet.,Make the interface less cluttered.
Yes,When my pull request was assisted by Bots and members,Irrelevant support,I do not know,I do not know,Very relevant support,Very relevant support,Very relevant support,I do not know,,Can't think of any.,"They're quite okay now, at least for the tasks I've selected above."
Yes,When my pull request was assisted by Bots and members,Very relevant support,I do not know,Relevant support,I do not know,I do not know,Very relevant support,I do not know,,bots can't properly review code,suggest other issues of similar level of difficulty
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very irrelevant support,,"Haven't noticed any. Bots are usually used for status checks on GitHub -- they help run tests, coverage, linting, etc., which takes a lot of work off of the integrators.",None
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,I do not know,Explain what contributors should do next or what state the bot is expected.,What commands are the bot can identify.,not so far.
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,I do not know,,"Bots can't provide humans level of problem understanding, i.e give either too broad help/solution or even wrong advices.",AI
Yes,When my pull request was assisted by Bots and members,Very relevant support,I do not know,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,Not really,I am pretty satisfied with current features
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,,Ideas to improve contributed code in ways that only an expert in the subject matter or the project can help.,I feel all my expectations from a bot are getting fulfilled as of now.
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,Can't think of any.,Can't think of any.
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,Close PR based on a manual commit done by humans.,When quality depends on criteria bots just make more noise than help,Limit to cuantitative decisions
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,,Guiding and welcoming new contributors.,Estimation of when my pull request would be merged
Yes,When my pull request was assisted by Bots and members,Relevant support,I do not know,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,,Poorly written bots can be very noisy — they leave lots of comments on the pull request which makes it difficult to see the actual conversation.,Make them repeatedly edit a single comment instead of posting new comments.
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Irrelevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,"issue classification, automatic label provisioning","code conflicts, test failure solutions","quick action suggestion (CI re-run, rebase suggestion and instructions, labelling suggestions based on code)"
Yes,When my pull request was assisted by Bots and members,I do not know,I do not know,Very relevant support,Very relevant support,Very relevant support,I do not know,Relevant support,,-,-
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,I do not know,Relevant support,Very relevant support,Very relevant support,Very irrelevant support,,Automated and canned answers can quickly get annoying after a while. ,More explanation about what the bot do/will do
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Irrelevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,no idea,no idea,better assigment
Yes,When my pull request was assisted by Bots and members,Very relevant support,I do not know,Relevant support,Very relevant support,Very relevant support,I do not know,Relevant support,,"Obviously, we can't go with full bot supported system. Sometimes the system gets too complicated that we can't use bots to operate. ","No, I think it's working good right now. We can improve code reviewing capability of bots though."
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,I do not know,"For the pull request you chose, I wouldn't describe it as a bot. It's a CI server. It does not perform any human interaction, does not pretend to be a person. A bot is not a name for an automated process. The main purpose of CI as a maintainer is to reduce the amount of manual review needed before merging a PR.","I've never encountered a bot in a PR situation. CI code style rules, automated unit tests, yes, but that's not a bot.","The more thorough the unit tests and code style checks, the easier it is for the maintainer (though it's them that needs to set it up), but it puts more pressure on the contributor. Automated suggestions for fixes for automatically detected issues is helpful, so more of that. Look at the Scrutinizer service for examples of this - though they are often wrong."
Yes,When my pull request was assisted by Bots and members,I do not know,I do not know,Relevant support,I do not know,I do not know,Relevant support,Relevant support,,Not all scenarios may be covered.,- (I don't make many pull requests)
Yes,When my pull request was assisted by Bots and members,Very irrelevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Irrelevant support,I do not know,,N/A,N/A
Yes,When my pull request was assisted only by project members,Very relevant support,I do not know,I do not know,Relevant support,Irrelevant support,I do not know,Irrelevant support,,Code review can be best done by humans,"Show any relevant history/discussion related to the problem at hand, connect to supporting documentation or policies related. Also helpful if there are bots that remind me of any open issues in my areas of interest (like issues in Activerecord query optimisation)."
Yes,When my pull request was assisted by Bots and members,I do not know,Irrelevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very irrelevant support,,-,-
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,I do not know,,They're not so smart),No idea
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very irrelevant support,,I did not face such a challenge (yet),It really depends. As is always the case with automation: You have to choose wisely what to automate and how.
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very irrelevant support,,Sometimes ,AI
Yes,When my pull request was assisted by Bots and members,Very irrelevant support,Relevant support,Relevant support,Relevant support,Very relevant support,Very irrelevant support,Very irrelevant support,,"I guess it depends on the information needing to be communicated, bots are good at standardised replies of monotonous/automated tasks (test results, code coverage, code style etc) which might help forgetful humans to adhere to a project's guidelines and similar. I think it would be mer complex having a bot do actual code review (in the sense of evaluating the behaviour of the code submitted).","This particular bot was a code coverage bot. I think it did its job reasonably well, so not really missing anything in particular. I would like to see a beter Github integration than a standard comment though, I do prefer seeing bot related tasks/updates/replies under the ""All checks have passed"" section above the merge button."
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Relevant support,Very relevant support,I do not know,Irrelevant support,,"If a question is specifically asked in the PR, it would be better to get human support first.",maybe a button to request human
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Relevant support,Relevant support,I do not know,Relevant support,"To me, it decreases the emotional impact of a code review that identifies formatting issues. I feel less pestered when feedback on whitespace or whatever is given by a bot than a human.","Bots help streamline repetitive tasks, but cannot help with the decision-making, such as deciding if a build-passing/CI-approved request is indeed useful for the project at large.","Allow reaching the bot for help on tasks, particularly when it requires action on my part such as reformatting/refactoring code. On the command-line, Rubocop autocorrect is magical in this regard."
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Relevant support,Relevant support,Very relevant support,Irrelevant support,,Closing an issue after X days of no activity (without having a single answer/post on the issue),Guiding people to low hanging fruits/issues and help them to engage in the project 
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,Irrelevant support,,"Bots can be more challenging if the process is not properly implemented, leading to contributors getting stuck",-
Yes,When my pull request was assisted by Bots and members,Very relevant support,Irrelevant support,Irrelevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,,code review,"I don't know if I should expect the bot to do code reviews, at least I hope it can help me with contacting human reviewers."
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,I do not know,I do not know,Very relevant support,I do not know,Relevant support,,"I have no much experience with contributing, so I don’t know. Basicly I understand the advantages of using robots from repository owners and don’t feel bad being treated like that.","I have no idea, I am fine so far."
Yes,When my pull request was assisted by Bots and members,Relevant support,Very relevant support,Relevant support,Relevant support,Very relevant support,I do not know,Irrelevant support,The whole build process can greatly benefit from Bot support,Bots are relatively limited in handling exceptional cases on code guidelines,"Automated Build, Test and Deploy Process. That for me is the main purpose of the bot in the Open Source Community"
Yes,When my pull request was assisted by Bots and members,Relevant support,Irrelevant support,Relevant support,Very relevant support,Relevant support,I do not know,I do not know,,"It's always good to meet human first, but we have to meet bot first nowadays.",Answer issue question automatcially?
Yes,When my pull request was assisted by Bots and members,I do not know,I do not know,I do not know,Relevant support,Relevant support,Very relevant support,I do not know,,"Bots are good for well-formalized tasks that are boring to be done by the humans. Otherwise, we need an AI.",No idea.
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Relevant support,Very relevant support,Relevant support,Very relevant support,Very irrelevant support,,"So far I did not hand any problems with bots. However, I can image that if a bot is not aware of one special case this could lead to problems.",Easier setup for my own projects.
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,I do not know,Very relevant support,Very relevant support,I do not know,Relevant support,,"Lack of discoverability of what the bot can do. As a contributor my interaction with a bot is reactive, not proactive. For instance in the PR which lead me to taking part in this survey a maintainer had to ask the bot to run CI tests; I did not know that was possible.",Better discoverability of features as outlined above.
Yes,When my pull request was assisted by Bots and members,Relevant support,I do not know,Irrelevant support,Very relevant support,Relevant support,Very relevant support,Relevant support,,"None that I can think of right now. They have always been varying degrees of helpful, but never problematic 🙂",-
